pop,x,y,status,inftime,rem_time
1,171.37997942465938,236.6372029771568,2,10,13
1,247.68259773488361,165.51564845282712,2,30,33
1,110.7823739719669,219.82732728625797,2,9,12
1,179.0405608392448,246.30483099210971,2,6,9
1,247.18457972874413,233.17103567897323,0,0,0
1,162.63409452139297,249.42841391806277,2,38,41
1,195.36165438291766,118.91738377917243,2,16,19
1,240.0512574422608,146.2682750865692,2,45,48
1,193.72035558376558,209.66261995309475,2,12,15
1,249.67838273914882,150.76445038242147,2,20,23
1,178.7459060391692,104.06456103923144,2,10,13
1,109.15411347275163,256.3455799963399,2,23,26
1,299.35703372054513,130.0739760608611,2,40,43
1,224.33118084070594,196.3294719375699,2,9,12
1,298.12098540381044,259.38375619596184,2,32,35
1,127.04076435053797,245.46036562780355,0,0,0
1,214.2785733408773,222.87746914287933,2,12,15
1,128.85697713785126,123.64527553784902,2,4,7
1,148.8878003773978,177.61622746876697,2,6,9
1,270.6552374925102,182.95594813436526,0,0,0
1,122.47490633517404,112.56606273445597,2,10,13
1,245.8740584013804,271.11725169412017,2,23,26
1,284.02739483598873,105.72004910943475,0,0,0
1,217.4987008582877,157.2004272946944,2,17,20
1,153.08433151149276,150.85887715869035,0,0,0
1,105.97799677538191,153.54549171138132,0,0,0
1,135.19201397322982,124.33354458401995,2,2,5
1,242.0473679717975,223.17771697824557,2,22,25
1,145.0012395515323,226.19287038291787,0,0,0
1,188.9502064760169,189.38836613464977,2,8,11
1,126.39486537530126,103.01804875709004,2,19,22
1,262.3203731026538,163.05348811383604,2,10,13
1,109.43002519461433,122.39403849128956,2,7,10
1,211.63324380610948,138.63119351937388,2,11,14
1,162.30127484412412,248.39373510294644,2,37,40
1,146.2074188192679,229.5024955002291,1,50,53
1,244.79528035750442,259.62780255613603,2,24,27
1,165.91760706376294,135.74652907071544,2,17,20
1,288.65155972809055,278.6574015431455,2,11,14
1,270.13946148794645,149.3655683960033,0,0,0
1,244.17828616708454,187.28875964979773,2,7,10
1,269.7961409574036,287.1109607346507,0,0,0
1,296.2015004970493,172.15234480972447,2,9,12
1,263.8134284386505,163.23811002977635,2,33,36
1,109.93008586867754,266.97674224125853,0,0,0
1,205.83158386915784,121.55628635300062,2,18,21
1,230.61166678680144,180.41318348591022,0,0,0
1,281.3919579879715,239.2552629347536,0,0,0
1,124.69715441821185,120.5789506969182,2,7,10
1,295.3756019653979,206.63452543664857,2,18,21
1,114.62730216833923,278.504149152619,0,0,0
1,274.2170962791008,156.87120783779983,0,0,0
1,260.2508146282301,176.97324308403648,2,14,17
1,205.15495283865528,118.44994363484349,0,0,0
1,156.29144164174272,102.95493617579676,2,10,13
1,184.065959234098,111.81906886519664,0,0,0
